pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.5980.6	0	0	5.81666666667	0.0	0.0	1.62085995677e-05
PB.2507.2	0	0	0.333333333333	0.0	0.0	9.28859574081e-07
PB.6051.1	3	4	4.5	8.35973616673e-06	1.1146314889e-05	1.25396042501e-05
PB.5004.1	1	2	2	2.78657872224e-06	5.57315744448e-06	5.57315744448e-06
PB.5266.3	1	5	7.66666666667	2.78657872224e-06	1.39328936112e-05	2.13637702039e-05
PB.1829.1	2	5	5	5.57315744448e-06	1.39328936112e-05	1.39328936112e-05
PB.2612.3	0	0	4.18452380952	0.0	0.0	1.16605050103e-05
PB.4346.3	0	0	7.5	0.0	0.0	2.08993404168e-05
PB.3639.1	1	2	3.0	2.78657872224e-06	5.57315744448e-06	8.35973616673e-06
PB.2975.9	0	0	0.2	0.0	0.0	5.57315744448e-07
PB.2238.1	3	5	5	8.35973616673e-06	1.39328936112e-05	1.39328936112e-05
PB.6037.2	0	0	3.0	0.0	0.0	8.35973616673e-06
PB.5082.2	0	0	4.58333333333	0.0	0.0	1.27718191436e-05
PB.5082.3	1	1	7.08333333333	2.78657872224e-06	2.78657872224e-06	1.97382659492e-05
PB.5082.1	14	37	43.5833333333	3.90121021114e-05	0.000103103412723	0.000121448389311
PB.6037.1	10	12	15.0	2.78657872224e-05	3.34389446669e-05	4.17986808336e-05
PB.5082.4	1	2	2.25	2.78657872224e-06	5.57315744448e-06	6.26980212504e-06
PB.3490.1	1	11	11	2.78657872224e-06	3.06523659447e-05	3.06523659447e-05
PB.4876.1	1	1	1.5	2.78657872224e-06	2.78657872224e-06	4.17986808336e-06
PB.4876.2	0	0	0.5	0.0	0.0	1.39328936112e-06
PB.5584.1	0	3	3	0.0	8.35973616673e-06	8.35973616673e-06
PB.1632.4	0	0	2.2	0.0	0.0	6.13047318893e-06
PB.1362.2	0	0	0.333333333333	0.0	0.0	9.28859574081e-07
PB.4279.4	0	0	3.33333333333	0.0	0.0	9.28859574081e-06
PB.6397.1	0	1	2.0	0.0	2.78657872224e-06	5.57315744448e-06
PB.4279.1	13	26	35.6666666667	3.62255233891e-05	7.24510467783e-05	9.93879744266e-05
PB.6882.1	6	7	9.66666666667	1.67194723335e-05	1.95060510557e-05	2.69369276483e-05
PB.4279.3	0	1	3.83333333333	0.0	2.78657872224e-06	1.06818851019e-05
PB.4279.2	0	1	7.16666666667	0.0	2.78657872224e-06	1.99704808427e-05
